year,de_eurostat,de_real_estimate,fr_real,fr_edf_estimate
2019,0.0317,0.030,0.0518,0.050
2020,0.0391,0.035,0.0551,0.050
2021,0.0541,0.045,0.0624,0.052
2022,0.1298,0.080–0.095,0.0972,0.055
2023,0.1381,0.085–0.100,0.1734,0.055
2024,0.1204,0.085–0.095,0.1207,0.055
